value,valueLabel,qualifierValue
http://www.wikidata.org/entity/Q56202338,Ancient Egyptians,Egyptians
http://www.wikidata.org/entity/Q1651392,Romans,Romans
http://www.wikidata.org/entity/Q9047,Gottfried Wilhelm Leibniz,Leibnitz
http://www.wikidata.org/entity/Q9047,Gottfried Wilhelm Leibniz,Mr. Leibnitz
http://www.wikidata.org/entity/Q3112766,Isaac Vossius,Ifaaco Voffio
http://www.wikidata.org/entity/Q3112766,Isaac Vossius,Isaaco Vossio
http://www.wikidata.org/entity/Q461340,"Paris Observatory, PSL University",Royal Observatory of Paris
http://www.wikidata.org/entity/Q461340,"Paris Observatory, PSL University",Royal Observatory at Paris
http://www.wikidata.org/entity/Q192988,Royal Observatory,Royal Observatory at Greenwich
http://www.wikidata.org/entity/Q192988,Royal Observatory,Royal Observatory of Greenwich
http://www.wikidata.org/entity/Q25688688,ancient Greeks,Greeks
http://www.wikidata.org/entity/Q178710,Vesta,Vesta
http://www.wikidata.org/entity/Q2983591,collège Henri-IV de La Flèche,University of La Fleche
http://www.wikidata.org/entity/Q332342,Trinity College,Trinity College
http://www.wikidata.org/entity/Q3746490,Flavius Lampadius,Lampadius
http://www.wikidata.org/entity/Q41866,Justinian I,Justin
http://www.wikidata.org/entity/Q3435583,Robert Kirk,Mr. Kirk
http://www.wikidata.org/entity/Q43393,Robert Boyle,Mr. Boyle
http://www.wikidata.org/entity/Q3242107,Chaldeans,Chaldeans
http://www.wikidata.org/entity/Q721703,Rufius Gennadius Probus Orestes,Orestes
http://www.wikidata.org/entity/Q76365,Regiomontanus,Regiomontanus
http://www.wikidata.org/entity/Q1048,Julius Caesar,Julius Cæsar
http://www.wikidata.org/entity/Q138341287,Ponthæus,O. S. Ponthæus
http://www.wikidata.org/entity/Q138341287,Ponthæus,Ponthæus
http://www.wikidata.org/entity/Q111281478,Johann Alexander Cellius,Cellius
http://www.wikidata.org/entity/Q46822655,Franciscus Galletius,Galletius
http://www.wikidata.org/entity/Q34604409,Pierre Ango,P. Ango
http://www.wikidata.org/entity/Q4800376,Arthur Storer,Mr. Arthur Storer
http://www.wikidata.org/entity/Q311823,Geminiano Montanari,"Montenari, professor of astronomy at Padua"
http://www.wikidata.org/entity/Q72992,Johann Jacob Zimmermann,Mr. Zimmerman
http://www.wikidata.org/entity/Q138341375,Valentinus Estancius,N. P. Valentinus Estancius
http://www.wikidata.org/entity/Q138341375,Valentinus Estancius,P. Valent. Estancius
http://www.wikidata.org/entity/Q940417,Symeon of Durham,"Simeon, the monk of Durham"
http://www.wikidata.org/entity/Q369366,Matthew Paris,Matthew Paris
http://www.wikidata.org/entity/Q369366,Matthew Paris,Matth. Paris
http://www.wikidata.org/entity/Q868,Aristotle,Aristotle
http://www.wikidata.org/entity/Q376856,Adrien Auzout,M. Auzout
http://www.wikidata.org/entity/Q3386576,Pierre Petit,M. Petit
http://www.wikidata.org/entity/Q1242534,Gilles-François de Gottignies,M. Gottignies
http://www.wikidata.org/entity/Q312278,James Bradley,"Mr. Bradley, Savilian Professor of Astronomy at Oxford"
http://www.wikidata.org/entity/Q159905,Hipparchus,Hipparchus
http://www.wikidata.org/entity/Q660644,Cornelius Gemma,Cornelius Gemma
http://www.wikidata.org/entity/Q190,God,God
http://www.wikidata.org/entity/Q190,God,"Lord God παντοκράτωρ, or Universal Ruler"
http://www.wikidata.org/entity/Q1748131,Edward Pococke,Dr. Pocock
http://www.wikidata.org/entity/Q44015,John the Apostle,John
http://www.wikidata.org/entity/Q9077,Moses,Moses
http://www.wikidata.org/entity/Q51676,Aaron,Aaron
http://www.wikidata.org/entity/Q10261,Pythagoras,Pythagoras
http://www.wikidata.org/entity/Q1541,Cicero,Cicer.
http://www.wikidata.org/entity/Q36303,Thales,Thales
http://www.wikidata.org/entity/Q83041,Anaxagoras,Anaxagoras
http://www.wikidata.org/entity/Q83041,Anaxagoras,Anaxagoros
http://www.wikidata.org/entity/Q1398,Virgil,Virgil
http://www.wikidata.org/entity/Q189597,Philo of Alexandria,Philo Allegor.
http://www.wikidata.org/entity/Q180671,Aratus,Aratus
http://www.wikidata.org/entity/Q9200,Paul the Apostle,St. Paul
http://www.wikidata.org/entity/Q41370,David,David
http://www.wikidata.org/entity/Q37085,Solomon,Solomon
http://www.wikidata.org/entity/Q179962,Job,Job
http://www.wikidata.org/entity/Q158825,Jeremiah,Jeremiah
http://www.wikidata.org/entity/Q37110,pharaoh,Pharaoh
http://www.wikidata.org/entity/Q212338,Philolaus,Philolaus
http://www.wikidata.org/entity/Q140188,Aristarchus of Samos,Aristarchus of Samos
http://www.wikidata.org/entity/Q859,Plato,Plato
http://www.wikidata.org/entity/Q42458,Anaximander,Anaximander
http://www.wikidata.org/entity/Q191359,Pythagoreanism,the whole sect of the Pythagoreans
http://www.wikidata.org/entity/Q200031,Numa Pompilius,Numa Pompilius
http://www.wikidata.org/entity/Q41980,Democritus,Democritus
http://www.wikidata.org/entity/Q185150,Eudoxus of Cnidus,Eudoxus
http://www.wikidata.org/entity/Q471218,Callippus of Cyzicus,Calippus
http://www.wikidata.org/entity/Q2142007,William Crabtree,Mr. Crabtrie
http://www.wikidata.org/entity/Q76684,Simon Marius,Simon Marius
http://www.wikidata.org/entity/Q76120944,Richard Towneley,Townley
http://www.wikidata.org/entity/Q76120944,Richard Towneley,Townly
http://www.wikidata.org/entity/Q160187,Ole Rømer,Mr. Romer
http://www.wikidata.org/entity/Q196472,Giovanni Battista Riccioli,Ricciolus
http://www.wikidata.org/entity/Q76738,Athanasius Kircher,Kircher
http://www.wikidata.org/entity/Q354631,Jeremiah Horrocks,Horrox
http://www.wikidata.org/entity/Q354631,Jeremiah Horrocks,Mr. Horrox
http://www.wikidata.org/entity/Q211783,Pappus of Alexandria,Pappus
http://www.wikidata.org/entity/Q211783,Pappus of Alexandria,Pappus of Alexandria
http://www.wikidata.org/entity/Q47434,Edmond Halley,Halley
http://www.wikidata.org/entity/Q47434,Edmond Halley,Edmund Halley
http://www.wikidata.org/entity/Q47434,Edmond Halley,Dr. Halley
http://www.wikidata.org/entity/Q47434,Edmond Halley,Edmundus Halleius
http://www.wikidata.org/entity/Q47434,Edmond Halley,Halleio
http://www.wikidata.org/entity/Q47434,Edmond Halley,EDM. Halley
http://www.wikidata.org/entity/Q47434,Edmond Halley,Halleium
http://www.wikidata.org/entity/Q123885,Royal Society,Royal Society
http://www.wikidata.org/entity/Q123885,Royal Society,Societate Regali
http://www.wikidata.org/entity/Q123885,Royal Society,Societate Regia
http://www.wikidata.org/entity/Q123885,Royal Society,Regia Societate
http://www.wikidata.org/entity/Q307,Galileo Galilei,Galileo
http://www.wikidata.org/entity/Q307,Galileo Galilei,Galilaeus
http://www.wikidata.org/entity/Q307,Galileo Galilei,Galilaei
http://www.wikidata.org/entity/Q307,Galileo Galilei,Galilaeum
http://www.wikidata.org/entity/Q170373,Christopher Wren,Sir Christopher Wren
http://www.wikidata.org/entity/Q170373,Christopher Wren,Sir Christ. Wren
http://www.wikidata.org/entity/Q170373,Christopher Wren,Wrennus
http://www.wikidata.org/entity/Q170373,Christopher Wren,Wrenni
http://www.wikidata.org/entity/Q170373,Christopher Wren,Christophorus Wrennus
http://www.wikidata.org/entity/Q208359,John Wallis,Dr. Wallis
http://www.wikidata.org/entity/Q208359,John Wallis,Wallifius
http://www.wikidata.org/entity/Q208359,John Wallis,Wallisius
http://www.wikidata.org/entity/Q208359,John Wallis,Johannes Wallisius S. T. D.
http://www.wikidata.org/entity/Q39599,Christiaan Huygens,Mr. Huygens
http://www.wikidata.org/entity/Q39599,Christiaan Huygens,Huygenian
http://www.wikidata.org/entity/Q39599,Christiaan Huygens,Hugenius
http://www.wikidata.org/entity/Q39599,Christiaan Huygens,Hugenii
http://www.wikidata.org/entity/Q39599,Christiaan Huygens,Christianus Hugenius
http://www.wikidata.org/entity/Q319749,Edme Mariotte,Mr. Mariotte
http://www.wikidata.org/entity/Q319749,Edme Mariotte,Clarissimus Mariottus
http://www.wikidata.org/entity/Q319749,Edme Mariotte,Mariottus
http://www.wikidata.org/entity/Q8747,Euclid,Euclides
http://www.wikidata.org/entity/Q8747,Euclid,Euclid
http://www.wikidata.org/entity/Q8747,Euclid,Euclide
http://www.wikidata.org/entity/Q46830,Robert Hooke,Hook
http://www.wikidata.org/entity/Q46830,Robert Hooke,Dr. Hooke
http://www.wikidata.org/entity/Q46830,Robert Hooke,Hookius
http://www.wikidata.org/entity/Q46830,Robert Hooke,Hookio
http://www.wikidata.org/entity/Q46830,Robert Hooke,Hookium
http://www.wikidata.org/entity/Q46830,Robert Hooke,Hookii
http://www.wikidata.org/entity/Q180109,Apollonius of Perga,Apollonius
http://www.wikidata.org/entity/Q180109,Apollonius of Perga,Apollon.
http://www.wikidata.org/entity/Q180109,Apollonius of Perga,Apollonii
http://www.wikidata.org/entity/Q8739,Archimedes,Archimedes
http://www.wikidata.org/entity/Q8739,Archimedes,Archimede
http://www.wikidata.org/entity/Q8739,Archimedes,Archimed.
http://www.wikidata.org/entity/Q8739,Archimedes,Archimedis
http://www.wikidata.org/entity/Q244152,Willebrord Snellius,Snellius
http://www.wikidata.org/entity/Q244152,Willebrord Snellius,Villebrordius Snellius
http://www.wikidata.org/entity/Q9191,René Descartes,Descartes
http://www.wikidata.org/entity/Q9191,René Descartes,Cartesius
http://www.wikidata.org/entity/Q9191,René Descartes,Des Cartes
http://www.wikidata.org/entity/Q9191,René Descartes,Sectateurs de Descartes
http://www.wikidata.org/entity/Q9191,René Descartes,Cartesiani
http://www.wikidata.org/entity/Q1342809,Giovanni Francesco Grimaldi,Grimaldus
http://www.wikidata.org/entity/Q1279339,John Collins,Mr. J. Collins
http://www.wikidata.org/entity/Q1279339,John Collins,D. J. Collinium
http://www.wikidata.org/entity/Q1394765,René-François de Sluse,Slusius
http://www.wikidata.org/entity/Q1394765,René-François de Sluse,Slufii
http://www.wikidata.org/entity/Q1692000,Johannes Hudde,Huddens
http://www.wikidata.org/entity/Q1692000,Johannes Hudde,Huddenii
http://www.wikidata.org/entity/Q658008,John Theophilus Desaguliers,Dr. Desaguliers
http://www.wikidata.org/entity/Q1356811,Joseph Sauveur,M. Sauveur
http://www.wikidata.org/entity/Q619,Nicolaus Copernicus,Copernicus
http://www.wikidata.org/entity/Q619,Nicolaus Copernicus,Copernican hypothesis
http://www.wikidata.org/entity/Q311814,Giovanni Alfonso Borelli,Borelli
http://www.wikidata.org/entity/Q14279,Giovanni Domenico Cassini,Cassini
http://www.wikidata.org/entity/Q4375031,James Pound,Mr. Pound
http://www.wikidata.org/entity/Q8963,Johannes Kepler,Kepler
http://www.wikidata.org/entity/Q8963,Johannes Kepler,Keplerian
http://www.wikidata.org/entity/Q711273,Ismaël Bullialdus,Bullialdus
http://www.wikidata.org/entity/Q34943,Ptolemy,Ptolemy
http://www.wikidata.org/entity/Q735426,Godfried Wendelen,Vendelin
http://www.wikidata.org/entity/Q521638,Thomas Street,Street
http://www.wikidata.org/entity/Q36620,Tycho Brahe,Tycho Brahe
http://www.wikidata.org/entity/Q36620,Tycho Brahe,Tycho
http://www.wikidata.org/entity/Q36620,Tycho Brahe,Tychonic
http://www.wikidata.org/entity/Q362753,Nicholas Mercator,Mr. N. Mercator
http://www.wikidata.org/entity/Q7328100,Richard Norwood,Mr. Norwood
http://www.wikidata.org/entity/Q314854,Jean Picard,M. Picart
http://www.wikidata.org/entity/Q720451,Jean Richer,M. Richer
http://www.wikidata.org/entity/Q138334135,Varin,M. Varin
http://www.wikidata.org/entity/Q85853581,Jean Deshayes,M. des Hayes
http://www.wikidata.org/entity/Q2093339,Pierre Couplet,"M. Couplet, the son"
http://www.wikidata.org/entity/Q1871688,Louis Feuillée,P. Feuillé
http://www.wikidata.org/entity/Q371890,Philippe de La Hire,M. de la Hire
http://www.wikidata.org/entity/Q138334903,Samuel Colepress,Colepress
http://www.wikidata.org/entity/Q138334903,Samuel Colepress,Samuel Colepress
http://www.wikidata.org/entity/Q18922288,Samuel Sturmy,Sturmy
http://www.wikidata.org/entity/Q18922288,Samuel Sturmy,Samuel Sturmy
http://www.wikidata.org/entity/Q726385,John Machin,"Mr. Machin, Astron., Gresh. Prof."
http://www.wikidata.org/entity/Q1607145,Henry Pemberton,Dr. Henry Pemberton
http://www.wikidata.org/entity/Q242388,John Flamsteed,Mr. Flamsted
http://www.wikidata.org/entity/Q57963,Johannes Hevelius,Hevelius
http://www.wikidata.org/entity/Q123842,Johann Baptist Cysat,Cysatus
http://www.wikidata.org/entity/Q78427,Johann Bayer,Bayer
http://www.wikidata.org/entity/Q62317,Gottfried Kirch,Mr. Gottfried Kirch
